country,region,tier1,us_dependence,us_dependence_2010,us_dependence_2011,us_dependence_2012,us_dependence_2013,us_dependence_2014,us_dependence_2015,us_dependence_2016,us_dependence_2017,us_dependence_2018,us_dependence_2019,us_dependence_2020,us_dependence_2021,us_dependence_2022,us_dependence_2023,us_dependence_2024,us_dependence_2025,us_dependence_2026,us_dependence_2027,us_dependence_2028,us_dependence_2029,us_dependence_2030,china_dependence,china_dependence_2010,china_dependence_2011,china_dependence_2012,china_dependence_2013,china_dependence_2014,china_dependence_2015,china_dependence_2016,china_dependence_2017,china_dependence_2018,china_dependence_2019,china_dependence_2020,china_dependence_2021,china_dependence_2022,china_dependence_2023,china_dependence_2024,china_dependence_2025,china_dependence_2026,china_dependence_2027,china_dependence_2028,china_dependence_2029,china_dependence_2030,economic_dependence,economic_dependence_2010,economic_dependence_2011,economic_dependence_2012,economic_dependence_2013,economic_dependence_2014,economic_dependence_2015,economic_dependence_2016,economic_dependence_2017,economic_dependence_2018,economic_dependence_2019,economic_dependence_2020,economic_dependence_2021,economic_dependence_2022,economic_dependence_2023,economic_dependence_2024,economic_dependence_2025,economic_dependence_2026,economic_dependence_2027,economic_dependence_2028,economic_dependence_2029,economic_dependence_2030,military_dependence,military_dependence_2010,military_dependence_2011,military_dependence_2012,military_dependence_2013,military_dependence_2014,military_dependence_2015,military_dependence_2016,military_dependence_2017,military_dependence_2018,military_dependence_2019,military_dependence_2020,military_dependence_2021,military_dependence_2022,military_dependence_2023,military_dependence_2024,military_dependence_2025,military_dependence_2026,military_dependence_2027,military_dependence_2028,military_dependence_2029,military_dependence_2030,infrastructure_payment_share,infrastructure_payment_share_2010,infrastructure_payment_share_2011,infrastructure_payment_share_2012,infrastructure_payment_share_2013,infrastructure_payment_share_2014,infrastructure_payment_share_2015,infrastructure_payment_share_2016,infrastructure_payment_share_2017,infrastructure_payment_share_2018,infrastructure_payment_share_2019,infrastructure_payment_share_2020,infrastructure_payment_share_2021,infrastructure_payment_share_2022,infrastructure_payment_share_2023,infrastructure_payment_share_2024,infrastructure_payment_share_2025,infrastructure_payment_share_2026,infrastructure_payment_share_2027,infrastructure_payment_share_2028,infrastructure_payment_share_2029,infrastructure_payment_share_2030,classification,source_url,updated
米国,北アメリカ,1,10,,,,,,,,,,,,,,,,,10,,,,,1,,,,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,4,,,,,10,,,,,,,,,,,,,,,,,10,,,,,10,,,,,,,,,,,,,,,,,10,,,,,米国寄り,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
中国,東アジア,1,2,,,,,,,,,,,,,,,,,2,,,,,10,,,,,,,,,,,,,,,,,10,,,,,9,,,,,,,,,,,,,,,,,9,,,,,7,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,7,,,,,中国寄り,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
日本,東アジア,1,8,,,,,,,,,,,,,,,,,8,,,,,7,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,8,,,,,9,,,,,,,,,,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,9,,,,,両依存,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
ドイツ,ヨーロッパ,1,7,,,,,,,,,,,,,,,,,7,,,,,6,,,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,8,,,,,9,,,,,,,,,,,,,,,,,9,,,,,両依存,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
フランス,ヨーロッパ,1,7,,,,,,,,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,6,,,,,8,,,,,,,,,,,,,,,,,8,,,,,9,,,,,,,,,,,,,,,,,9,,,,,米国寄り,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
イギリス,ヨーロッパ,1,9,,,,,,,,,,,,,,,,,9,,,,,4,,,,,,,,,,,,,,,,,4,,,,,6,,,,,,,,,,,,,,,,,6,,,,,9,,,,,,,,,,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,9,,,,,米国寄り,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
イタリア,ヨーロッパ,1,6,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,,,7,,,,,7,,,,,,,,,,,,,,,,,7,,,,,8,,,,,,,,,,,,,,,,,8,,,,,両依存,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
カナダ,北アメリカ,1,10,,,,,,,,,,,,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,,,,,,,,,,,6,,,,,9,,,,,,,,,,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,9,,,,,米国寄り,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
ロシア,ヨーロッパ,1,1,,,,,,,,,,,,,,,,,1,,,,,8,,,,,,,,,,,,,,,,,8,,,,,7,,,,,,,,,,,,,,,,,7,,,,,9,,,,,,,,,,,,,,,,,9,,,,,4,,,,,,,,,,,,,,,,,4,,,,,中国寄り,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
インド,南アジア,1,6,,,,,,,,,,,,,,,,,6,,,,,5,,,,,,,,,,,,,,,,,5,,,,,6,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,6,,,,,6,,,,,,,,,,,,,,,,,6,,,,,流動,https://comtradeplus.un.org/; https://www.sipri.org/databases/milex/sources-and-methods; https://www.bis.org/statistics/payment_stats.htm; https://www.swift.com/insights/press-releases/rmb-falls-back-to-position-5-as-an-international-payments-currency,2026-03-15
